Raw venue string,Canonical name,CORE/SJR rank,Source of decision,Note
dairy science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'dairy science': [SJR:norm_title] Journal of Dairy Science | [SJR:norm_title] International Journal of Dairy Science / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
data information management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,"衝突キー'data information management': [SJR:norm_title] Data and Information Management | [SJR:norm_title] Journal of Data, Information and Management / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)"
dental journal,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'dental journal': [SJR:norm_title] International Dental Journal | [SJR:norm_title] Dental Journal / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
dentistry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'dentistry': [SJR:norm_title] Journal of Dentistry | [SJR:norm_title] International Journal of Dentistry | [SJR:norm_title] Journal of Dentistry (Iran) | [SJR:norm_title] Dentistry 3000 / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
design,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'design': [SJR:norm_title] International Journal of Design | [SJR:norm_title] Journal of Design / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
designs for learning,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'designs for learning': [SJR:norm_title] Designs for Learning | [SJR:norm_title] International Journal of Designs for Learning / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
development,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'development': [SJR:norm_title] Development (Cambridge) | [SJR:norm_title] Journal of International Development | [SJR:norm_title] Development / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
differential equations,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'differential equations': [SJR:norm_title] Journal of Differential Equations | [SJR:norm_title] Differential Equations | [SJR:norm_title] International Journal of Differential Equations / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
distributed computing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'distributed computing': [CORE:norm_title] International Symposium on Distributed Computing (was WDAG) | [SJR:norm_title] Distributed Computing / ranks: CORE A | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
diversity higher education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'diversity higher education': [SJR:norm_title] Journal of Diversity in Higher Education | [SJR:norm_title] Diversity in Higher Education / ranks: SJR Q1 | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ecological engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ecological engineering': [SJR:norm_title] Ecological Engineering | [SJR:norm_title] Journal of Ecological Engineering / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ecology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ecology': [SJR:norm_title] Journal of Ecology | [SJR:norm_title] Ecology | [SJR:norm_title] International Journal of Ecology / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
econometrics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'econometrics': [SJR:norm_title] Journal of Econometrics | [SJR:norm_title] Econometrics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
economic geography,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'economic geography': [SJR:norm_title] Economic Geography | [SJR:norm_title] Journal of Economic Geography | [SJR:norm_title] Economic Geography (Switzerland) / ranks: SJR Q1 | SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
economic geology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'economic geology': [SJR:norm_title] Economic Geology | [SJR:norm_title] Journal of Economic Geology / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
economic journal,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'economic journal': [SJR:norm_title] Economic Journal | [SJR:norm_title] International Economic Journal / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
economic theory,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'economic theory': [SJR:norm_title] Journal of Economic Theory | [SJR:norm_title] Economic Theory | [SJR:norm_title] International Journal of Economic Theory / ranks: SJR Q1 | SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'economics': [SJR:norm_title] Journal of International Economics | [SJR:norm_title] International Economics | [SJR:norm_title] Economics / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
economics business,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'economics business': [SJR:norm_title] Journal of Economics and Business | [SJR:norm_title] International Journal of the Economics of Business / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
economics development,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'economics development': [SJR:norm_title] Journal of Economics and Development | [SJR:norm_title] Economics of Development (discontinued) / ranks: SJR Q1 | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'education': [SJR:norm_title] Journal of Education | [SJR:norm_title] Journal of Education (South Africa) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
education culture society,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,"衝突キー'education culture society': [SJR:norm_title] Journal of Education Culture and Society | [SJR:norm_title] Education, Culture, and Society / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)"
educational research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'educational research': [SJR:norm_title] Educational Research | [SJR:norm_title] International Journal of Educational Research | [SJR:norm_title] Journal of Educational Research / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
emergency nursing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'emergency nursing': [SJR:norm_title] International Emergency Nursing | [SJR:norm_title] Journal of Emergency Nursing / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
empirical economics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'empirical economics': [SJR:norm_title] Empirical Economics | [SJR:norm_title] International Journal of Empirical Economics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
empirical software engineering measurement,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'empirical software engineering measurement': [CORE:norm_title] International Symposium on Empirical Software Engineering and Measurement | [SJR:norm_title] International Symposium on Empirical Software Engineering and Measurement / ranks: CORE A | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
endocrinology metabolism,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'endocrinology metabolism': [SJR:norm_title] Endocrinology and Metabolism | [SJR:norm_title] International Journal of Endocrinology and Metabolism | [SJR:norm_title] Journal of Endocrinology and Metabolism / ranks: SJR Q1 | SJR Q3 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
energy storage,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'energy storage': [SJR:norm_title] Journal of Energy Storage | [SJR:norm_title] Energy Storage / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'engineering': [SJR:norm_title] Engineering | [SJR:norm_title] Journal of Engineering (United Kingdom) | [SJR:norm_title] Journal of Engineering / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
engineering education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'engineering education': [SJR:norm_title] Journal of Engineering Education | [SJR:norm_title] International Journal of Engineering Education / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
engineering geology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'engineering geology': [SJR:norm_title] Engineering Geology | [SJR:norm_title] Journal of Engineering Geology / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
english studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'english studies': [SJR:norm_title] English Studies | [SJR:norm_title] International Journal of English Studies | [SJR:norm_title] Journal of English Studies / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
english teaching,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'english teaching': [SJR:norm_title] English Teaching | [SJR:norm_title] English Teaching (South Korea) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
enterprise information systems,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'enterprise information systems': [SJR:norm_title] Enterprise Information Systems | [SJR:norm_title] International Journal of Enterprise Information Systems / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
environment health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'environment health': [SJR:norm_title] Environment and Health | [SJR:norm_title] International Journal of Environment and Health / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
environmental earth sciences,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'environmental earth sciences': [SJR:norm_title] Environmental Earth Sciences | [SJR:norm_title] Journal of Environmental and Earth Sciences (discontinued) / ranks: SJR Q1 | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
environmental law,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'environmental law': [SJR:norm_title] Journal of Environmental Law | [SJR:norm_title] International Environmental Law / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
environmental sustainability,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'environmental sustainability': [SJR:norm_title] Environmental Sustainability | [SJR:norm_title] International Journal of Environmental Sustainability / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
european education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'european education': [SJR:norm_title] European Journal of Education | [SJR:norm_title] European Education / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
european psychiatry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'european psychiatry': [SJR:norm_title] European Psychiatry | [SJR:norm_title] European Journal of Psychiatry / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
evolutionary biology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'evolutionary biology': [SJR:norm_title] Journal of Evolutionary Biology | [SJR:norm_title] Evolutionary Biology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
fertility sterility,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'fertility sterility': [SJR:norm_title] Fertility and Sterility | [SJR:norm_title] International Journal of Fertility and Sterility / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
finance,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'finance': [SJR:norm_title] Journal of Finance | [SJR:norm_title] International Finance | [SJR:norm_title] Finance / ranks: SJR Q1 | SJR Q2 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
folklore,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'folklore': [SJR:norm_title] Folklore (United Kingdom) | [SJR:norm_title] Folklore (Estonia) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
food engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'food engineering': [SJR:norm_title] Journal of Food Engineering | [SJR:norm_title] International Journal of Food Engineering / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
food nutrition research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'food nutrition research': [SJR:norm_title] Food and Nutrition Research | [SJR:norm_title] Journal of Food and Nutrition Research / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
food research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'food research': [SJR:norm_title] Food Research International | [SJR:norm_title] Food Research / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
food science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'food science': [SJR:norm_title] Journal of Food Science | [SJR:norm_title] International Journal of Food Science / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
food science biotechnology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'food science biotechnology': [SJR:norm_title] Food Science and Biotechnology | [SJR:norm_title] Journal of Food Science and Biotechnology / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
food science technology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'food science technology': [SJR:norm_title] Journal of Food Science and Technology | [SJR:norm_title] International Journal of Food Science and Technology | [SJR:norm_title] Food Science and Technology International | [SJR:norm_title] Food Science and Technology (United States) | [SJR:norm_title] Journal of Food Science and Technology (China) | [SJR:norm_title] Journal of Food Science and Technology (Iran) / ranks: SJR Q2 | SJR Q1 | SJR Q2 | SJR Q3 | SJR Q3 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
forecasting,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'forecasting': [SJR:norm_title] International Journal of Forecasting | [SJR:norm_title] Forecasting | [SJR:norm_title] Journal of Forecasting / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
forest engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'forest engineering': [SJR:norm_title] International Journal of Forest Engineering | [SJR:norm_title] Forest Engineering / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
forestry research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'forestry research': [SJR:norm_title] Forestry Research | [SJR:norm_title] Journal of Forestry Research | [SJR:norm_title] International Journal of Forestry Research / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
forum,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'forum': [SJR:norm_title] Forum (Germany) | [SJR:norm_title] FORUM (The Netherlands) / ranks: SJR Q2 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
frontiers education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'frontiers education': [CORE:norm_title] Frontiers in Education | [SJR:norm_title] Frontiers in Education / ranks: CORE C | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
frontiers mechanical engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'frontiers mechanical engineering': [SJR:norm_title] Frontiers of Mechanical Engineering | [SJR:norm_title] Frontiers in Mechanical Engineering / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
frontiers physics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'frontiers physics': [SJR:norm_title] Frontiers of Physics | [SJR:norm_title] Frontiers in Physics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
fse,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,"衝突キー'fse': [CORE:acronym] ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB) | [CORE:acronym] International Workshop on Fast Software Encryption / ranks: CORE A* | CORE B / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)"
functional programming,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'functional programming': [CORE:norm_title] International Conference on Functional Programming | [SJR:norm_title] Journal of Functional Programming / ranks: CORE A | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
fuzzy sets systems,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'fuzzy sets systems': [SJR:norm_title] Fuzzy Sets and Systems | [SJR:norm_title] Transactions on Fuzzy Sets and Systems / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
gambling studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'gambling studies': [SJR:norm_title] Journal of Gambling Studies | [SJR:norm_title] International Gambling Studies / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
gastroenterology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'gastroenterology': [SJR:norm_title] Gastroenterology | [SJR:norm_title] Journal of Gastroenterology | [SJR:norm_title] Gastroenterology (Ukraine) / ranks: SJR Q1 | SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
gastroenterology hepatology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'gastroenterology hepatology': [SJR:norm_title] Journal of Gastroenterology and Hepatology (Australia) | [SJR:norm_title] Gastroenterology and Hepatology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
gender studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'gender studies': [SJR:norm_title] Journal of Gender Studies | [SJR:norm_title] Gender Studies / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
genetics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'genetics': [SJR:norm_title] Genetics | [SJR:norm_title] Journal of Genetics / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
geographical sciences,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'geographical sciences': [SJR:norm_title] Journal of Geographical Sciences | [SJR:norm_title] Geographical Sciences / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
geology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'geology': [SJR:norm_title] Geology | [SJR:norm_title] Journal of Geology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
geomechanics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'geomechanics': [SJR:norm_title] International Journal of Geomechanics | [SJR:norm_title] Journal of Geomechanics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
geophysics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'geophysics': [SJR:norm_title] Geophysics | [SJR:norm_title] International Journal of Geophysics / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'health': [SJR:norm_title] International Health | [SJR:norm_title] Health (United Kingdom) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
health psychology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'health psychology': [SJR:norm_title] Health Psychology | [SJR:norm_title] Journal of Health Psychology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
healthcare informatics research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'healthcare informatics research': [SJR:norm_title] Journal of Healthcare Informatics Research | [SJR:norm_title] Healthcare Informatics Research / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
heat mass transfer,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'heat mass transfer': [SJR:norm_title] International Journal of Heat and Mass Transfer | [SJR:norm_title] Heat and Mass Transfer / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
hematology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'hematology': [SJR:norm_title] Hematology (United States) | [SJR:norm_title] International Journal of Hematology | [SJR:norm_title] Hematology (United Kingdom) | [SJR:norm_title] Hematology (Bulgaria) / ranks: SJR Q1 | SJR Q2 | SJR Q2 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
hepatology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'hepatology': [SJR:norm_title] Journal of Hepatology | [SJR:norm_title] Hepatology | [SJR:norm_title] Hepatology International | [SJR:norm_title] International Journal of Hepatology / ranks: SJR Q1 | SJR Q1 | SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
hindu studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'hindu studies': [SJR:norm_title] International Journal of Hindu Studies | [SJR:norm_title] Journal of Hindu Studies / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
historical geography,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'historical geography': [SJR:norm_title] Journal of Historical Geography | [SJR:norm_title] Historical Geography / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
human evolution,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'human evolution': [SJR:norm_title] Journal of Human Evolution | [SJR:norm_title] Human Evolution / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
human genetics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'human genetics': [SJR:norm_title] Human Genetics | [SJR:norm_title] Journal of Human Genetics / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
human rights,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'human rights': [SJR:norm_title] Journal of Human Rights | [SJR:norm_title] International Journal of Human Rights | [SJR:norm_title] Human Rights / ranks: SJR Q1 | SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
human rights law review,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'human rights law review': [SJR:norm_title] Human Rights Law Review | [SJR:norm_title] International Human Rights Law Review / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ieee cloud computing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee cloud computing': [CORE:norm_title] IEEE International Conference on Cloud Computing | [SJR:norm_title] IEEE Transactions on Cloud Computing / ranks: CORE B | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ieee electromagnetic compatibility,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee electromagnetic compatibility': [SJR:norm_title] IEEE Transactions on Electromagnetic Compatibility | [SJR:norm_title] IEEE International Symposium on Electromagnetic Compatibility / ranks: SJR Q1 | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
